Index;Rhod;Rhol;Md;Ml;sd;sl;e;Sigmad;Sigmal;stoch;RhoA;Ta;Tau0;Deltah;DeltaH;Cp;Cpa;Ti;X0;r00;Blai;me
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;300;0;0.0;0.0;1800;1000;600;0.0;0.0;0.0;0.0
91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;300;0;0.0;0.0;1800;1000;600;0.0;0.0;0.0;0.0
92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;300;0;0.0;0.0;1800;1000;600;0.0;0.0;0.0;0.0
93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;300;0;0.0;0.0;1800;1000;600;0.0;0.0;0.0;0.0
98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;300;0;0.0;0.0;1800;1000;600;0.0;0.0;0.0;0.0
99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;300;0;0.0;0.0;1800;1000;600;0.0;0.0;0.0;0.0
101;563.0;522.0;0.1;1.0;6099.0;7273.0;0.12;0.09;0.0;8.3;1.0;300;70000;18169000.0;18167000.0;1800;1000;600;0.3;2.5e-05;4.0;0.15
102;563.0;522.0;0.1;1.0;6099.0;7273.0;0.30;0.25;0.0;8.3;1.0;300;70000;18169000.0;18167000.0;1800;1000;600;0.3;2.5e-05;4.0;0.15
103;563.0;522.0;0.1;1.0;6099.0;7273.0;0.76;0.36;0.0;8.3;1.0;300;70000;18169000.0;18167000.0;1800;1000;600;0.3;2.5e-05;4.0;0.25
104;563.0;522.0;0.1;1.0;6099.0;7273.0;0.61;0.48;0.0;8.3;1.0;300;70000;18169000.0;18167000.0;1800;1000;600;0.3;2.5e-05;4.0;0.15
