grid_value,export_value,descriptive_name,fuel_type,r,g,b,h,s,l
91,91,NB1,NB,130,130,130,0,0,51
92,92,NB2,NB,255,255,255,0,0,100
93,93,NB3,NB,213,205,180,45,29,77
98,98,NB8,NB,63,136,219,212,69,55
99,99,NB9,NB,222,220,208,51,17,84
101,101,GR1,GR,207,227,190,92,39,82
102,102,GR2,GR,207,227,190,92,39,82
103,103,GR3,GR,207,227,190,92,39,82
104,104,GR4,GR,207,227,190,92,39,82
105,105,GR5,GR,164,205,137,96,41,67
106,106,GR6,GR,164,205,137,96,41,67
107,107,GR7,GR,164,205,137,96,41,67
108,108,GR8,GR,164,205,137,96,41,67
121,121,GS1,GS,154,199,106,89,47,60
122,122,GS2,GS,154,199,106,89,47,60
123,123,GS3,GS,154,199,106,89,47,60
124,124,GS4,GS,154,199,106,89,47,60
142,142,SH2,SH,112,129,55,74,40,36
143,143,SH3,SH,112,129,55,74,40,36
144,144,SH4,SH,112,129,55,74,40,36
145,145,SH5,SH,112,129,55,74,40,36
146,146,SH6,SH,73,82,29,70,48,22
147,147,SH7,SH,73,82,29,70,48,22
148,148,SH8,SH,73,82,29,70,48,22
149,149,SH9,SH,73,82,29,70,48,22
161,161,TU1,TU,184,115,51,29,56,46
162,162,TU2,TU,184,115,51,29,56,46
163,163,TU3,TU,140,86,39,28,56,35
164,164,TU4,TU,126,78,35,28,57,32
165,165,TU5,TU,126,78,35,28,57,32
181,181,TL1,TL,75,57,29,37,44,20
182,182,TL2,TL,75,57,29,37,44,20
183,183,TL3,TL,75,57,29,37,44,20
185,185,TL5,TL,75,57,29,37,44,20
186,186,TL6,TL,55,44,25,38,38,16
188,188,TL8,TL,55,44,25,38,38,16
189,189,TL9,TL,55,44,25,38,38,16
